
----------------------------------------------- [START 2024-09-03 07:05:46] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|
   1.0  |  0.174  91.552   8.490  97.914  |   0.196  91.052  |  91.552   8.490  97.914  |  0 hr 02 min   0
   2.0  |  0.211  93.448   6.510  98.563  |   0.117  94.958  |  93.448   6.510  98.563  |  0 hr 04 min   0
   3.0  |  0.237  92.069   7.906  98.102  |   0.086  96.372  |  93.448   6.510  98.563  |  0 hr 06 min   0
   4.0  |  0.246  94.828   5.114  98.951  |   0.070  97.073  |  94.828   5.114  98.951  |  0 hr 09 min   0
   5.0  |  0.158  93.448   6.510  98.596  |   0.059  97.577  |  94.828   5.114  98.951  |  0 hr 11 min   0
   6.0  |  0.163  93.621   6.396  98.198  |   0.052  97.878  |  94.828   5.114  98.951  |  0 hr 13 min   0
   7.0  |  0.557  92.414   7.922  98.010  |   0.047  98.110  |  94.828   5.114  98.951  |  0 hr 15 min   0
   8.0  |  0.904  96.379   3.604  99.015  |   0.043  98.271  |  96.379   3.604  99.015  |  0 hr 18 min   0
   9.0  |  0.448  93.621   6.396  97.901  |   0.040  98.396  |  96.379   3.604  99.015  |  0 hr 20 min   0
  10.0  |  0.102  95.690   4.302  99.414  |   0.038  98.510  |  96.379   3.604  99.015  |  0 hr 22 min   0
  11.0  |  0.162  95.690   4.302  99.461  |   0.035  98.615  |  96.379   3.604  99.015  |  0 hr 24 min   0
  12.0  |  0.073  97.069   2.906  99.597  |   0.033  98.701  |  97.069   2.906  99.597  |  0 hr 27 min   0
  13.0  |  0.168  93.448   6.510  98.479  |   0.031  98.778  |  97.069   2.906  99.597  |  0 hr 29 min   0
  14.0  |  0.270  90.000  10.000  96.909  |   0.030  98.842  |  97.069   2.906  99.597  |  0 hr 31 min   0
  15.0  |  0.233  94.138   5.812  98.482  |   0.029  98.888  |  97.069   2.906  99.597  |  0 hr 34 min   0
  16.0  |  0.281  89.310  10.698  96.060  |   0.028  98.924  |  97.069   2.906  99.597  |  0 hr 36 min   0
  17.0  |  0.460  91.207   8.961  97.875  |   0.027  98.972  |  97.069   2.906  99.597  |  0 hr 38 min   0
  18.0  |  0.271  94.310   5.698  98.558  |   0.026  99.010  |  97.069   2.906  99.597  |  0 hr 40 min   0
  19.0  |  0.261  94.138   5.812  98.300  |   0.025  99.055  |  97.069   2.906  99.597  |  0 hr 42 min   0
  20.0  |  0.281  94.138   5.812  99.044  |   0.024  99.088  |  97.069   2.906  99.597  |  0 hr 45 min   0
  21.0  |  0.549  93.448   6.510  98.015  |   0.023  99.115  |  97.069   2.906  99.597  |  0 hr 47 min   0
  22.0  |  0.100  95.517   4.416  98.974  |   0.023  99.132  |  97.069   2.906  99.597  |  0 hr 49 min   0
  23.0  |  0.094  95.690   4.302  99.344  |   0.022  99.161  |  97.069   2.906  99.597  |  0 hr 51 min   0
  24.0  |  0.249  93.621   6.396  98.661  |   0.021  99.189  |  97.069   2.906  99.597  |  0 hr 54 min   0
  25.0  |  0.154  95.690   4.302  99.125  |   0.021  99.216  |  97.069   2.906  99.597  |  0 hr 56 min   0
  26.0  |  0.299  92.414   7.679  97.968  |   0.020  99.238  |  97.069   2.906  99.597  |  0 hr 58 min   0
  27.0  |  0.260  90.690   9.302  96.800  |   0.020  99.253  |  97.069   2.906  99.597  |  1 hr 01 min   0
  28.0  |  0.311  90.000  10.000  97.299  |   0.019  99.265  |  97.069   2.906  99.597  |  1 hr 03 min   0
