
----------------------------------------------- [START 2024-09-03 14:38:06] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|
   1.0  |  0.856  88.780  11.349  95.747  |   0.171  92.125  |  88.780  11.349  95.747  |  0 hr 02 min   0
   2.0  |  0.206  96.098   3.880  99.339  |   0.101  95.589  |  96.098   3.880  99.339  |  0 hr 04 min   0
   3.0  |  0.956  80.000  20.000  87.778  |   0.080  96.670  |  96.098   3.880  99.339  |  0 hr 06 min   0
   4.0  |  0.871  83.902  16.120  92.885  |   0.066  97.307  |  96.098   3.880  99.339  |  0 hr 09 min   0
   5.0  |  0.883  86.707  13.205  95.284  |   0.057  97.725  |  96.098   3.880  99.339  |  0 hr 11 min   0
   6.0  |  0.539  90.000  10.000  96.379  |   0.049  98.024  |  96.098   3.880  99.339  |  0 hr 13 min   0
   7.0  |  0.809  93.171   6.867  98.107  |   0.044  98.245  |  96.098   3.880  99.339  |  0 hr 16 min   0
   8.0  |  1.146  94.146   5.975  98.209  |   0.040  98.409  |  96.098   3.880  99.339  |  0 hr 18 min   0
   9.0  |  0.200  95.854   4.025  98.897  |   0.037  98.541  |  96.098   3.880  99.339  |  0 hr 20 min   0
  10.0  |  2.575  81.707  18.361  91.977  |   0.035  98.641  |  96.098   3.880  99.339  |  0 hr 23 min   0
  11.0  |  0.774  93.049   6.940  98.159  |   0.032  98.731  |  96.098   3.880  99.339  |  0 hr 25 min   0
  12.0  |  0.765  93.049   6.940  98.022  |   0.031  98.804  |  96.098   3.880  99.339  |  0 hr 27 min   0
  13.0  |  1.709  83.293  16.795  92.040  |   0.029  98.874  |  96.098   3.880  99.339  |  0 hr 29 min   0
  14.0  |  0.187  92.195   7.759  98.336  |   0.028  98.920  |  96.098   3.880  99.339  |  0 hr 32 min   0
  15.0  |  2.029  77.683  22.313  86.997  |   0.027  98.971  |  96.098   3.880  99.339  |  0 hr 34 min   0
  16.0  |  2.117  90.976   8.796  97.308  |   0.026  99.008  |  96.098   3.880  99.339  |  0 hr 36 min   0
  17.0  |  1.432  86.951  13.060  94.585  |   0.025  99.045  |  96.098   3.880  99.339  |  0 hr 39 min   0
  18.0  |  0.414  87.683  12.313  94.965  |   0.024  99.088  |  96.098   3.880  99.339  |  0 hr 41 min   0
  19.0  |  0.487  95.610   4.482  99.186  |   0.023  99.119  |  96.098   3.880  99.339  |  0 hr 43 min   0
  20.0  |  0.467  90.732   9.253  97.175  |   0.023  99.139  |  96.098   3.880  99.339  |  0 hr 46 min   0
  21.0  |  0.848  91.707   8.361  97.857  |   0.022  99.163  |  96.098   3.880  99.339  |  0 hr 48 min   0
  22.0  |  1.018  86.098  13.880  95.071  |   0.022  99.188  |  96.098   3.880  99.339  |  0 hr 50 min   0
  23.0  |  0.874  89.268  10.747  96.295  |   0.021  99.191  |  96.098   3.880  99.339  |  0 hr 52 min   0
  24.0  |  0.593  94.512   5.446  98.787  |   0.021  99.216  |  96.098   3.880  99.339  |  0 hr 55 min   0
  25.0  |  1.497  88.537  11.494  95.781  |   0.020  99.238  |  96.098   3.880  99.339  |  0 hr 57 min   0
  26.0  |  0.573  86.951  13.060  95.186  |   0.020  99.262  |  96.098   3.880  99.339  |  0 hr 59 min   0
  27.0  |  0.384  91.585   8.434  98.280  |   0.019  99.280  |  96.098   3.880  99.339  |  1 hr 02 min   0
  28.0  |  0.205  90.732   9.253  97.708  |   0.019  99.297  |  96.098   3.880  99.339  |  1 hr 04 min   0
  29.0  |  1.377  84.024  16.048  93.304  |   0.018  99.316  |  96.098   3.880  99.339  |  1 hr 06 min   0
  30.0  |  1.720  85.366  14.627  94.638  |   0.018  99.330  |  96.098   3.880  99.339  |  1 hr 09 min   0
  31.0  |  1.355  86.463  13.662  95.486  |   0.018  99.346  |  96.098   3.880  99.339  |  1 hr 11 min   0
  32.0  |  1.748  84.756  15.301  93.411  |   0.018  99.351  |  96.098   3.880  99.339  |  1 hr 13 min   0
  33.0  |  1.181  87.683  12.313  96.496  |   0.017  99.361  |  96.098   3.880  99.339  |  1 hr 16 min   0
  34.0  |  0.385  87.683  12.313  95.502  |   0.017  99.373  |  96.098   3.880  99.339  |  1 hr 18 min   0
  35.0  |  1.810  85.732  14.409  94.421  |   0.017  99.387  |  96.098   3.880  99.339  |  1 hr 20 min   0
  36.0  |  2.440  85.610  14.482  95.120  |   0.016  99.402  |  96.098   3.880  99.339  |  1 hr 23 min   0
  37.0  |  1.896  90.976   8.796  97.584  |   0.016  99.413  |  96.098   3.880  99.339  |  1 hr 25 min   0
  38.0  |  0.793  90.000  10.000  96.886  |   0.016  99.424  |  96.098   3.880  99.339  |  1 hr 27 min   0
  39.0  |  0.303  90.732   9.253  97.768  |   0.015  99.432  |  96.098   3.880  99.339  |  1 hr 30 min   0
  40.0  |  0.348  91.341   8.579  97.060  |   0.015  99.443  |  96.098   3.880  99.339  |  1 hr 32 min   0

----------------------------------------------- [START 2024-09-03 16:10:58] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|
   1.0  |  0.188  90.976   9.108  96.667  |   0.177  91.719  |  90.976   9.108  96.667  |  0 hr 02 min   0
   2.0  |  0.423  88.415  11.566  95.348  |   0.103  95.422  |  90.976   9.108  96.667  |  0 hr 04 min   0
   3.0  |  0.112  93.902   6.120  98.887  |   0.078  96.670  |  93.902   6.120  98.887  |  0 hr 07 min   0
   4.0  |  0.280  85.366  14.627  93.886  |   0.064  97.300  |  93.902   6.120  98.887  |  0 hr 09 min   0
   5.0  |  1.134  79.268  20.747  87.804  |   0.055  97.690  |  93.902   6.120  98.887  |  0 hr 12 min   0
   6.0  |  0.503  90.732   9.253  96.475  |   0.048  97.996  |  93.902   6.120  98.887  |  0 hr 14 min   0
   7.0  |  1.446  88.171  11.711  95.371  |   0.043  98.235  |  93.902   6.120  98.887  |  0 hr 16 min   0
   8.0  |  0.672  90.000  10.000  96.355  |   0.040  98.380  |  93.902   6.120  98.887  |  0 hr 19 min   0
   9.0  |  0.509  85.366  14.627  92.609  |   0.037  98.508  |  93.902   6.120  98.887  |  0 hr 21 min   0
  10.0  |  0.899  83.049  16.940  91.577  |   0.034  98.603  |  93.902   6.120  98.887  |  0 hr 23 min   0
  11.0  |  3.590  72.073  27.832  84.764  |   0.032  98.680  |  93.902   6.120  98.887  |  0 hr 26 min   0
  12.0  |  1.631  88.780  11.349  96.323  |   0.031  98.755  |  93.902   6.120  98.887  |  0 hr 28 min   0
  13.0  |  1.100  94.634   5.373  98.583  |   0.029  98.826  |  94.634   5.373  98.583  |  0 hr 31 min   0
  14.0  |  0.898  88.415  11.566  95.200  |   0.028  98.891  |  94.634   5.373  98.583  |  0 hr 33 min   0
