
----------------------------------------------- [START 2024-09-02 23:16:00] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|
   1.0  |  0.461  93.462   6.583  98.125  |   0.174  91.865  |  93.462   6.583  98.125  |  0 hr 03 min   0
   2.0  |  0.343  91.154   8.667  97.575  |   0.106  95.318  |  93.462   6.583  98.125  |  0 hr 06 min   0
   3.0  |  0.799  93.462   6.583  97.817  |   0.079  96.635  |  93.462   6.583  97.817  |  0 hr 10 min   0
   4.0  |  0.184  93.462   6.583  98.317  |   0.064  97.331  |  93.462   6.583  98.317  |  0 hr 13 min   0
   5.0  |  0.259  90.000  10.000  96.150  |   0.055  97.737  |  93.462   6.583  98.317  |  0 hr 15 min   0
   6.0  |  0.412  91.538   8.417  95.500  |   0.049  98.023  |  93.462   6.583  98.317  |  0 hr 18 min   0
   7.0  |  0.238  92.308   7.917  98.017  |   0.043  98.242  |  93.462   6.583  98.317  |  0 hr 21 min   0
   8.0  |  0.354  93.462   6.583  98.650  |   0.040  98.398  |  93.462   6.583  98.650  |  0 hr 24 min   0
   9.0  |  0.326  93.462   6.583  98.517  |   0.037  98.531  |  93.462   6.583  98.517  |  0 hr 27 min   0
  10.0  |  0.442  95.000   5.000  98.617  |   0.034  98.644  |  95.000   5.000  98.617  |  0 hr 30 min   0
  11.0  |  0.702  91.154   8.667  98.017  |   0.033  98.710  |  95.000   5.000  98.617  |  0 hr 33 min   0
  12.0  |  0.263  96.154   3.667  98.867  |   0.031  98.781  |  96.154   3.667  98.867  |  0 hr 36 min   0
  13.0  |  0.295  91.923   8.167  97.367  |   0.030  98.845  |  96.154   3.667  98.867  |  0 hr 39 min   0
  14.0  |  0.429  90.000  10.000  96.092  |   0.028  98.900  |  96.154   3.667  98.867  |  0 hr 42 min   0
  15.0  |  0.167  93.462   6.583  96.892  |   0.027  98.945  |  96.154   3.667  98.867  |  0 hr 45 min   0
  16.0  |  0.266  91.538   8.417  97.042  |   0.026  98.986  |  96.154   3.667  98.867  |  0 hr 48 min   0
  17.0  |  1.061  88.462  11.583  96.458  |   0.025  99.025  |  96.154   3.667  98.867  |  0 hr 50 min   0
  18.0  |  0.147  93.462   6.583  97.758  |   0.024  99.068  |  96.154   3.667  98.867  |  0 hr 53 min   0
  19.0  |  0.354  95.000   5.000  98.567  |   0.023  99.103  |  96.154   3.667  98.867  |  0 hr 56 min   0
  20.0  |  0.168  91.538   8.417  97.383  |   0.023  99.111  |  96.154   3.667  98.867  |  0 hr 59 min   0
  21.0  |  0.247  91.923   8.167  96.625  |   0.023  99.142  |  96.154   3.667  98.867  |  1 hr 02 min   0
  22.0  |  0.310  91.154   8.667  96.200  |   0.022  99.171  |  96.154   3.667  98.867  |  1 hr 05 min   0
  23.0  |  0.241  93.462   6.583  97.217  |   0.021  99.199  |  96.154   3.667  98.867  |  1 hr 08 min   0
  24.0  |  0.239  91.923   8.167  96.467  |   0.021  99.221  |  96.154   3.667  98.867  |  1 hr 11 min   0
  25.0  |  0.462  90.000  10.000  95.200  |   0.020  99.238  |  96.154   3.667  98.867  |  1 hr 14 min   0
  26.0  |  0.254  93.462   6.583  96.700  |   0.020  99.259  |  96.154   3.667  98.867  |  1 hr 17 min   0
  27.0  |  0.317  93.462   6.583  96.692  |   0.019  99.273  |  96.154   3.667  98.867  |  1 hr 21 min   0
  28.0  |  0.184  92.308   7.917  97.658  |   0.019  99.291  |  96.154   3.667  98.867  |  1 hr 23 min   0
  29.0  |  0.205  91.538   8.417  97.717  |   0.018  99.309  |  96.154   3.667  98.867  |  1 hr 27 min   0
  30.0  |  0.378  93.462   6.583  97.725  |   0.018  99.326  |  96.154   3.667  98.867  |  1 hr 30 min   0
  31.0  |  0.530  93.462   6.583  97.317  |   0.018  99.341  |  96.154   3.667  98.867  |  1 hr 33 min   0
  32.0  |  0.377  90.000  10.000  96.250  |   0.017  99.352  |  96.154   3.667  98.867  |  1 hr 36 min   0
  33.0  |  0.278  91.538   8.417  96.842  |   0.017  99.364  |  96.154   3.667  98.867  |  1 hr 39 min   0
  34.0  |  0.266  93.462   6.583  98.492  |   0.017  99.373  |  96.154   3.667  98.867  |  1 hr 41 min   0
  35.0  |  0.158  93.846   6.333  98.858  |   0.017  99.387  |  96.154   3.667  98.867  |  1 hr 43 min   0
  36.0  |  0.218  89.615  10.250  97.100  |   0.016  99.396  |  96.154   3.667  98.867  |  1 hr 45 min   0
  37.0  |  0.263  91.538   8.417  97.783  |   0.016  99.408  |  96.154   3.667  98.867  |  1 hr 48 min   0
  38.0  |  0.412  90.000  10.000  97.075  |   0.016  99.419  |  96.154   3.667  98.867  |  1 hr 50 min   0
