
----------------------------------------------- [START 2024-09-03 22:25:47] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|
   1.0  |  0.807  90.419   9.580  95.210  |   0.168  92.271  |  90.419   9.580  95.210  |  0 hr 03 min   0
   2.0  |  1.261  89.581  10.420  94.930  |   0.098  95.708  |  90.419   9.580  95.210  |  0 hr 05 min   0
   3.0  |  0.650  90.168   9.842  95.783  |   0.071  96.944  |  90.419   9.580  95.210  |  0 hr 08 min   0
   4.0  |  1.306  91.173   8.685  96.104  |   0.058  97.575  |  91.173   8.685  96.104  |  0 hr 11 min   0
   5.0  |  0.745  90.978   9.019  96.169  |   0.050  97.948  |  91.173   8.685  96.104  |  0 hr 14 min   0
   6.0  |  1.207  91.788   8.302  96.319  |   0.044  98.184  |  91.788   8.302  96.319  |  0 hr 17 min   0
   7.0  |  1.330  88.603  11.454  94.843  |   0.040  98.385  |  91.788   8.302  96.319  |  0 hr 20 min   0
   8.0  |  3.204  81.397  12.451  91.646  |   0.036  98.539  |  91.788   8.302  96.319  |  0 hr 23 min   0
   9.0  |  4.312  77.235  15.100  91.926  |   0.034  98.656  |  91.788   8.302  96.319  |  0 hr 26 min   0
  10.0  |  2.224  88.687  12.144  94.084  |   0.032  98.741  |  91.788   8.302  96.319  |  0 hr 29 min   0
  11.0  |  3.111  86.341  10.162  93.318  |   0.030  98.817  |  91.788   8.302  96.319  |  0 hr 31 min   0
  12.0  |  2.368  88.743   8.823  95.850  |   0.028  98.895  |  91.788   8.302  96.319  |  0 hr 34 min   0
  13.0  |  2.522  89.609   9.502  95.122  |   0.027  98.955  |  91.788   8.302  96.319  |  0 hr 37 min   0
  14.0  |  1.974  90.335   9.685  95.907  |   0.025  99.005  |  91.788   8.302  96.319  |  0 hr 40 min   0
  15.0  |  1.218  92.933   7.058  97.531  |   0.024  99.051  |  92.933   7.058  97.531  |  0 hr 43 min   0
